ID,Joke
1,"""Hey, dad, did you get a haircut?"" ""No, I got them all cut."""
2,"""I'm sorry."" ""Hi sorry, I'm dad."""
3,"A bartender broke up with her boyfriend, but he kept asking her for another shot."
4,"A book just fell on my head. I only have my shelf to blame."
5,"A butcher accidentally backed into his meat grinder and got a little behind in his work that day."
6,"A farmer had 297 cows, when he rounded them up, he found he had 300."
7,"A ghost walks into a bar and asks for a glass of vodka but the bar tender says, ""sorry we don't serve spirits."""
8,"A girl once asked me what my heart desired, apparently blood, oxygen and neural messages were all wrong answers."
9,"A man got hit in the head with a can of Coke, but he was alright because it was a soft drink."
10,"A man walked in to a bar with some asphalt on his arm. He said ""Two beers please, one for me and one for the road."""
11,"A man walks into a bar and orders helicopter flavor chips. The barman replies ""sorry mate we only do plain."""
12,"A man was caught stealing in a supermarket today while balanced on the shoulders of a couple of vampires. He was charged with shoplifting on two counts."
13,"A panda walks into a bar and says to the bartender ""I'll have a Scotch and . . . . . . . . . . . . . . Coke thank you"". ""Sure thing"" the bartender replies and asks ""but what's with the big pause?"" The panda holds up his hands and says ""I was born with them."""
14,"A Sandwich walks into a bar, the bartender says ""Sorry, we don't serve food here."""
15,"A Skeleton walked into a bar he said I need a beer and a mop."
16,"A steak pun is a rare medium well done."
17,"A termite walks into a bar and asks ""Is the bar tender here?"""
18,"A woman is on trial for beating her husband to death with his guitar collection. Judge says, 'First offender?' She says, 'No, first a Gibson! Then a Fender!'"
19,"""Doctor, I've broken my arm in several places."" Doctor ""Well don't go to those places."""
20,"Americans can't switch from pounds to kilograms overnight. That would cause mass confusion."
21,"An apple a day keeps the bullies away. If you throw it hard enough."
22,"As I suspected, someone has been adding soil to my garden. The plot thickens."
23,"Astronomers got tired watching the moon go around the earth for 24 hours. They decided to call it a day."
24,"Bought a new jacket suit the other day and it burst into flames. Well, it was a blazer."
25,"Camping is intense."
26,"Child: Dad, make me a sandwich. Dad: Poof! You're a sandwich."
27,"Conjunctivitis.com – now that's a site for sore eyes."
28,"Dad died because he couldn't remember his blood type. I will never forget his last words. Be positive."
29,"Dad, can you put my shoes on? I don't think they'll fit me."
30,"Did you hear about the chameleon who couldn't change color? They had a reptile dysfunction."
31,"Did you hear about the cheese factory explosion? There was nothing left but de-brie."
32,"Did you hear about the cow who jumped over the barbed wire fence? It was udder destruction."
33,"Did you hear about the guy who invented Lifesavers? He made a mint."
34,"Did you hear about the guy whose whole left side was cut off? He's all right now."
35,"Did you hear about the kidnapping at school? It's ok, he woke up."
36,"Did you hear about the runner who was criticized? He just took it in stride."
37,"Did you hear about the two thieves who stole a calendar? They each got six months."
38,"Did you hear the joke about the wandering nun? She was a roman catholic."
39,"Did you hear the news? FedEx and UPS are merging. They're going to go by the name Fed-Up from now on."
40,"Did you hear the one about the giant pickle? He was kind of a big dill."
41,"Did you know Albert Einstein was a real person? All this time, I thought he was just a theoretical physicist!"
42,"Did you know crocodiles could grow up to 15 feet? But most just have 4."
43,"Did you know that ghosts call their true love their ghoul-friend?"
44,"Did you know you should always take an extra pair of pants golfing? Just in case you get a hole in one."
45,"Do I enjoy making courthouse puns? Guilty."
46,"Do you know where you can get chicken broth in bulk? The stock market."
47,"Doctor you've got to help me, I'm addicted to Twitter. Doctor: I don't follow you."
48,"Doctor: Do you want to hear the good news or the bad news? Patient: Good news please. Doctor: we're naming a disease after you."
49,"Don't interrupt someone working intently on a puzzle. Chances are, you'll hear some crosswords."
50,"Don't buy flowers at a monastery. Because only you can prevent florist friars."
51,"Don't tell secrets in corn fields. Too many ears around."
52,"Egyptians claimed to invent the guitar, but they were such lyres."
53,"Ever wondered why bees hum? It's because they don't know the words."
54,"Every machine in the coin factory broke down all of a sudden without explanation. It just doesn't make any cents."
55,"Feeling pretty proud of myself. The Sesame Street puzzle I bought said 3-5 years, but I finished it in 18 months."
56,"For Valentine's day, I decided to get my wife some beads for an abacus. It's the little things that count."
57,"Frankenstein enters a bodybuilding competition and finds he has seriously misunderstood the objective."
58,"Geology rocks, but Geography is where it's at!"
59,"Have you ever seen fruit preserves being made? It's jarring."
60,"Have you heard about corduroy pillows? They're making headlines!"
61,"Have you heard about the film ""Constipation"", you probably haven't because it's not out yet."
62,"Have you heard about the owl sanctuary job opening? It's all night shifts but they're all a hoot over there."
63,"Have you heard the rumor going around about butter? Never mind, I shouldn't spread it."
64,"Hear about the new restaurant called Karma? There's no menu: You get what you deserve."
65,"How are false teeth like stars? They come out at night!"
66,"How can you tell a vampire has a cold? They start coffin."
67,"How come a man driving a train got struck by lightning? He was a good conductor."
68,"How did the hipster burn the roof of his mouth? He ate the pizza before it was cool."
69,"How do locomotives know where they're going? Lots of training."
70,"How do robots eat guacamole? With computer chips."
71,"How do the trees get on the internet? They log on."
72,"How do you find Will Smith in the snow? Look for fresh prints."
73,"How do you get two whales in a car? Start in England and drive West."
74,"How do you know if there's an elephant under your bed? Your head hits the ceiling!"
75,"How do you make a hankie dance? Put a little boogie in it."
76,"How do you make holy water? You boil the hell out of it."
77,"How do you make Lady Gaga cry? Poker face."
78,"How do you organize a space party? You planet."
79,"How does a dyslexic poet write? Inverse."
80,"How does a French skeleton say hello? Bone-jour."
81,"How does a penguin build its house? Igloos it together."
82,"How does a vampire start a letter? Tomb it may concern..."
83,"How does Darth Vader like his toast? On the dark side."
84,"How does Moses make his coffee? Hebrews it."
85,"How does the moon cut his hair? Eclipse it."
86,"How many apples grow on a tree? All of them!"
87,"How many hipsters does it take to change a lightbulb? Oh, it's a really obscure number. You've probably never heard of it."
88,"How many optometrists does it take to change a light bulb? 1 or 2? 1... or 2?"
89,"How many tickles does it take to tickle an octopus? Ten-tickles!"
90,"How much does a hipster weigh? An instagram."
91,"I accidentally took my cats meds last night. Don't ask meow."
92,"I always wanted to look into why I procrastinate, but I keep putting it off."
93,"I asked my date to go to the gym the other day. They never showed up. That's when I knew we wouldn't work out."
94,"I asked the dog what's two minus two. He said nothing."
95,"I asked the librarian if the library had books on paranoia. She whispered, 'They're right behind you.'"
96,"I asked the surgeon if I could administer my own anesthetic, they said: go ahead, knock yourself out."
97,"I ate a clock yesterday. It was so time consuming."
98,"I boiled a funny bone last night and had a laughing stock."
99,"I couldn't figure out why the baseball kept getting bigger. Then it hit me."
100,"I decided to sell my Hoover… well it was just collecting dust."
101,"I don't play soccer because I enjoy the sport. I'm just doing it for kicks."
102,"I don't trust stairs because they're always up to something."
103,"I don't trust those trees. They seem kind of shady."
104,"I gave my friend 10 puns hoping that one of them would make him laugh. Sadly, no pun in ten did."
105,"I got an A on my origami assignment when I turned my paper into my teacher."
106,"I got fired from a florist, apparently I took too many leaves."
107,"I got fired from the transmission factory, turns out I didn't put on enough shifts..."
108,"I had a dream that I was a muffler last night. I woke up exhausted!"
109,"I had a pair of racing snails. I removed their shells to make them more aerodynamic, but they became sluggish."
110,"I had a rough day, and then somebody went and ripped the front and back pages from my dictionary. It just goes from bad to worse."
111,"I hate perforated lines, they're tearable."
112,"I heard there was a new store called Moderation. They have everything there."
113,"I invented a new word! Plagiarism!"
114,"I just broke my guitar. It's okay, I won't fret."
115,"I just read a book about Stockholm syndrome. It was pretty bad at first, but by the end I liked it."
116,"I knew i shouldn't have ate that seafood. Because now i'm feeling a little… Eel."
117,"I knew I shouldn't steal a mixer from work, but it was a whisk I was willing to take."
118,"I know he means well."
119,"I made a belt out of watches once... It was a waist of time."
120,"I made a playlist for hiking. It has music from Peanuts, The Cranberries, and Eminem. I call it my Trail Mix."
121,"I met this girl on a dating site and, I don't know, we just clicked."
122,"I once got fired from a calendar factory. All I did was take a day off."
123,"I only know 25 letters of the alphabet. I don't know y."
124,"I ordered a chicken and an egg from Amazon. I'll let you know."
125,"I remember when I was a kid, I opened my fridge and noticed one of my vegetables were crying. I guess I have some emotional cabbage."
126,"I saw a documentary on TV last night about how they put ships together. It was rivetting."
127,"I saw my husband trip and fall while carrying a laundry basket full of ironed clothes. I watched it all unfold."
128,"I started a new business making yachts in my attic this year...the sails are going through the roof."
129,"I think circles are pointless."
130,"I thought about going on an all-almond diet. But that's just nuts."
131,"I thought my wife was joking when she said she'd leave me if I didn't stop signing ""I'm A Believer""... Then I saw her face."
132,"I told a joke about chemistry, but I got no reaction."
133,"I told my computer I needed a break, and it said: 'You seem stressed.'"
134,"I told my friend 10 jokes to make him laugh. Sadly, no pun in ten did."
135,"I told my wife she should embrace her mistakes. She gave me a hug."
136,"I told my wife she was drawing her eyebrows too high. She looked surprised."
137,"I tried taking some high resolution photos of local farmland, but they all turned out a bit grainy."
138,"I used to be addicted to soap, but I'm clean now."
139,"I used to be addicted to the hokey pokey, but I turned myself around."
140,"I used to hate facial hair... but then it grew on me."
141,"I used to play piano by ear, but now I use my hands."
142,"I wanted to be a tailor but I didn't suit the job."
143,"I was fired from the keyboard factory yesterday. I wasn't putting in enough shifts."
